Txn Date,Narration,Chq/Ref No,Withdrawal (Dr),Deposit (Cr),Closing Balance
01/01/2025,OPENING BALANCE B/F,,,,"50,000.00"
01/01/2025,NEFT-CR-INFOSYS LTD SALARY DEC-REF884201,884201,,"₹95,000.00","1,45,000.00"
02/01/2025,IMPS/P2A/RENT/MR SHARMA LANDLORD/550012,550012,"22,000.00",,"1,23,000.00"
03/01/2025,UPI/SWIGGY*ORDER/427183920@okhdfcbank/Payment,427183920,₹458.00,,"1,22,542.00"
05/01/2025,ACH/D/NETFLIX/SUBSCRIPTION/8829102,8829102,649.00,,"1,21,893.00"
05-01-2025,BILLPAY/BESCOM ELECTRICITY BILL/REF77120,77120,"1,840.50",,"1,20,052.50"
06/01/2025,POS/AMAZON INDIA PVT LTD/REF8842,8842,"2,499.00",,"1,17,553.50"
07 Jan 2025,UPI/UBER INDIA/TRIP/REF5521,5521,312.00,,"1,17,241.50"
08/01/2025,UPI/SPOTIFY INDIA/AUTOPAY/REF3310,3310,119.00,,"1,17,122.50"
10/01/2025,UPI/ZOMATO/ORDER/REF7712,77121,612.50,,"1,16,510.00"
Txn Date,Narration,Chq/Ref No,Withdrawal (Dr),Deposit (Cr),Closing Balance
12/01/2025,UPI/AIRTEL PREPAID RECHARGE/REF2201,2201,299.00,,"1,16,211.00"
15/01/2025,ATM/NWD/CASH WITHDRAWAL/HDFC ATM MG ROAD,9001,"5,000.00",,"1,11,211.00"
18/01/2025,POS/FLIPKART INTERNET/REF99281,99281,"1,299.00",,"1,09,912.00"
20/01/2025,ACH/D/HDFC HOME LOAN EMI/REF1102,1102,"8,500.00",,"1,01,412.00"
25/01/2025,NEFT/ZERODHA BROKING/SIP MUTUAL FUND,Z5510,"10,000.00",,"91,412.00"
28/01/2025,UPI/BBPS/XYZ ENTERPRISES/REF5521,55210,780.00,,"90,632.00"
29/01/2025,UPI/AMAZON PRIME/MEMBERSHIP/REF6620,6620,"1,499.00",,"89,133.00"
01/02/2025,NEFT-CR-INFOSYS LTD SALARY JAN-REF884512,884512,,"₹95,000.00","1,84,133.00"
02/02/2025,IMPS/P2A/RENT/MR SHARMA LANDLORD/550012,550013,"22,000.00",,"1,62,133.00"
03/02/2025,UPI/SWIGGY*ORDER/512094821@okhdfcbank/Payment,512094821,521.00,,"1,61,612.00"
05/02/2025,ACH/D/NETFLIX/SUBSCRIPTION/8829102,8829999,649.00,,"1,60,963.00"
06-02-2025,BILLPAY/BESCOM ELECTRICITY BILL/REF77450,77450,"2,010.00",,"1,58,953.00"
07/02/2025,UPI/UBER INDIA/TRIP/REF5588,5588,289.00,,"1,58,664.00"
08/02/2025,UPI/SPOTIFY INDIA/AUTOPAY/REF3360,3360,119.00,,"1,58,545.00"
2025-02-10,UPI/ZOMATO/ORDER/REF7790,77900,745.00,,"1,57,800.00"
12/02/2025,UPI/AIRTEL PREPAID RECHARGE/REF2260,2260,299.00,,"1,57,501.00"
14/02/2025,POS/AMAZON INDIA PVT LTD/REF9012,9012,"3,250.00",,"1,54,251.00"
20/02/2025,ACH/D/HDFC HOME LOAN EMI/REF1140,1140,"8,500.00",,"1,45,751.00"
22/02/2025,POS/INDIAN OIL PETROL PUMP/REF4420,4420,"2,100.00",,"1,43,651.00"
25/02/2025,NEFT/ZERODHA BROKING/SIP MUTUAL FUND,Z5590,"10,000.00",,"1,33,651.00"
26/02/2025,UPI/APOLLO PHARMACY/REF8830,8830,"1,250.00",,"1,32,401.00"
28/02/2025,CREDIT INTEREST CAPITALISED,,,"412.00","1,32,813.00"
28/02/2025,CLOSING BALANCE C/F,,,,"1,32,813.00"
,TOTAL,,"1,17,599.00","1,90,412.00",
